WibbiCrawlName,mimeType,crawlType,year,month,day,machine,port,numPages,siteListName,sizeinGB,daemonLogFileName,crawlFilesDirectory
2001-01,text,monthly,2001,01,00,WB9,8003,119790000,2001-01.tx,334,2001.log,2001-01
2002MarchCrawl,text,monthly,2002,03,00,WB2,7902,44480000,2002MarchCrawl.tx,152,ddaemon.log.2002,2002MarchCrawl
2003-06,text,monthly,2003,06,00,WB1,7006,96060000,2003-06.tx,406,ddaemon.log.062003,2003-06
2003-08,text,monthly,2003,08,00,WB1,7008,95940842,2003-08.tx,413,ddaemon.log.082003,2003-08
2003-10,text,monthly,2003,10,00,WB1,7010,102630895,2003-10.tx,452,ddaemon.log.102003,2003-10
12-2003,text,monthly,2003,12,00,WB1,7012,35679381,12-2003.tx,531,ddaemon.log.122003.text,2003-12-2
12-2003,image,monthly,2003,12,00,WB1,7032,14308486,12-2003.im,531,ddaemon.log.122003.image,2003-12-2
2004-03,text,monthly,2004,03,00,WB1,7103,94800349,2004-03.tx,428,ddaemon.log.032004,2004-03
2004-04,image,monthly,2004,04,00,WB1,7114,6500850,2004-04.im,468,ddaemon.log.042004,2004-04
2004-07,text,monthly,2004,07,00,WB2,7107,11517257,2004-07.tx,460,ddaemon.log.072004,2004-07
2004-07,image,monthly,2004,07,00,WB2,7117,4200363,2004-07.im,460,ddaemon.log.072004,2004-07
2004-07,audio,monthly,2004,07,00,WB2,7127,18328,2004-07.au,460,ddaemon.log.072004,2004-07
2004-07,unknown,monthly,2004,07,00,WB2,7137,2283934,2004-07.un,460,ddaemon.log.072004,2004-07
2004-08,text,monthly,2004,08,00,WB23,7108,34800000,2004-08.tx,363,ddaemon.log.082004,2004-08-tx
2004-09,text,monthly,2004,09,00,WB3,7109,35504877,2004-09.tx,260,ddaemon.log.092004,2004-09
2004-09,image,monthly,2004,09,00,WB3,7119,6736018,2004-09.im,260,ddaemon.log.092004,2004-09
2004-10,text,monthly,2004,10,00,WB4,7190,105370000,2004-10.tx,504,ddaemon.log.102004,2004-10
2005-01,text,monthly,2005,01,00,WB15,7601,26202349,2005-01.tx,973,ddaemon.log.012005,2005-01-tx
2005-01,image,monthly,2005,01,00,WB15,7611,6241741,2005-01.im,973,ddaemon.log.012005,2005-01-tx
2005-01,audio,monthly,2005,01,00,WB15,7621,43146,2005-01.au,973,ddaemon.log.012005,2005-01-tx
2005-01,unknown,monthly,2005,01,00,WB15,7631,3515631,2005-01.un,973,ddaemon.log.012005,2005-01-tx
2005-03,text,monthly,2005,03,00,WB1,7603,84195031,2005-03.tx,464,ddaemon.log.032005,2005-03
2005-03-au,audio,monthly,2005,03,00,WB2,7489,478697,2005-03-au.au,190,ddaemon.log.2005-03-au,2005-03-au
2005-04,text,monthly,2005,04,00,WB3,7604,97701159,2005-04.tx,480,ddaemon.log.042005,2005-04
2005-05,text,monthly,2005,05,00,WB3,7605,91806940,2005-05.tx,445,ddaemon.log.052005,2005-05
2005-06,text,monthly,2005,06,00,WB22,7606,100982982,2005-06.tx,505,ddaemon.log.062005,2005-06
2005-08,text,monthly,2005,08,00,WB16,7658,9475422,2005-08.tx,468,ddaemon.log.082005,2005-08
2005-08,image,monthly,2005,08,00,WB16,7668,3252947,2005-08.im,468,ddaemon.log.082005,2005-08
2005-08,audio,monthly,2005,08,00,WB16,7669,24168,2005-08.au,468,ddaemon.log.082005,2005-08
2005-08,unknown,monthly,2005,08,00,WB16,7678,1998538,2005-08.un,468,ddaemon.log.082005,2005-08
2005-09,text,monthly,2005,09,00,WB3,7609,96496606,2005-09.tx,490,ddaemon.log.0905,2005-09
2005-10,text,monthly,2005,10,00,WB13,7610,97425939,2005-10.tx,508,ddaemon.log.102005,2005-10
2005-11,text,monthly,2005,11,00,WB16,7691,92906078,2005-11.tx,529,ddaemon.log.112005,2005-11
2005-12,text,monthly,2005,12,00,WB15,7612,20745663,2005-12.tx,945,ddaemon.log.122005,2005-12
2005-12,image,monthly,2005,12,00,WB15,7622,6966455,2005-12.im,945,ddaemon.log.122005,2005-12
2005-12,audio,monthly,2005,12,00,WB15,7632,42370,2005-12.au,945,ddaemon.log.122005,2005-12
2005-12,unknown,monthly,2005,12,00,WB15,7642,4482743,2005-12.un,945,ddaemon.log.122005,2005-12
2006-01,text,monthly,2006,01,00,WB1,7701,98433495,2006-01.tx,517,ddaemon.log.012006,2006-01
2006-02,text,monthly,2006,02,00,WB18,7702,93223957,2006-02.tx,491,ddaemon.log.022006,2006-02
2006-03,text,monthly,2006,03,00,WB15,7703,95289461,2006-03.tx,498,ddaemon.log.032006,2006-03
2006-04,text,monthly,2006,04,00,WB17,7704,91828884,2006-04.tx,494,ddaemon.log.042006,2006-04
2006-05,text,monthly,2006,05,00,WB17,7705,93007962,2006-05.tx,500,ddaemon.log.052006,2006-05
2006-06,text,monthly,2006,06,00,WB18,7706,91547349,2006-06.tx,491,ddaemon.log.062006,2006-06
2006-07,text,monthly,2006,07,00,WB19,7707,92165649,2006-07.tx,497,ddaemon.log.072006,2006-07
2006-08,text,monthly,2006,08,00,WB5,7708,64291441,2006-08.tx,355,ddaemon.log.082006,2006-08
2006-09,text,monthly,2006,09,00,WB15,7709,90502777,2006-09.tx,504,ddaemon.log.092006,2006-09
2006-10,text,monthly,2006,10,00,WB15,7710,89761796,2006-10.tx,498,ddaemon.log.102006,2006-10
10-2006-images,image,monthly,2006,10,00,WB3,7730,10276509,10-2006-images.im,354,ddaemon.log.102006im,10-2006-images
2006-11,text,monthly,2006,11,00,WB4,7711,89814998,2006-11.tx,507,ddaemon.log.112006,2006-11
12-2006,text,monthly,2006,12,00,WB1,7712,90424145,12-2006.tx,511,ddaemon.log.122006,12-2006
2006-12-au,audio,monthly,2006,12,00,WB1,7713,552339,2006-12-au.au,223,ddaemon.log.122006.au,2006-12-au
01-2007,text,monthly,2007,01,00,WB2,7118,87277144,01-2007.tx,503,ddaemon.log.012007,01-2007
02-2007,text,monthly,2007,02,00,WB11,7106,103538556,02-2007.tx,591,ddaemon.log.022007,02-2007
03-2007,text,monthly,2007,03,00,WB23,7161,101539419,03-2007.tx,681,ddaemon.log.032007,03-2007
04-2007,text,monthly,2007,04,00,WB5,7163,99432587,04-2007.tx,578,ddaemon.log.042007,04-2007
05-2007,text,monthly,2007,05,00,WB15,7239,97960177,05-2007.tx,573,ddaemon.log.052007,05-2007
06-2007,text,monthly,2007,06,00,WB2,7260,98216670,06-2007.tx,591,ddaemon.log.062007,06-2007
07-2007,text,monthly,2007,07,00,WB15,7579,85660000,07-2007.tx,525,ddaemon.log.072007,07-2007
08-2007,text,monthly,2007,08,00,WB18,7262,86778299,08-2007.tx,500,ddaemon.log.082007,08-2007
09-2007,text,monthly,2007,09,00,WB11,7266,79273366,09-2007.tx,486,ddaemon.log.09-2007,09-2007
10-2007,text,monthly,2007,10,00,WB3,7272,78332388,10-2007.tx,493,ddaemon.log.10-2007,10-2007
11-2007,text,monthly,2007,11,00,WB19,7289,80306913,11-2007.tx,497,ddaemon.log.11-2007,11-2007
12-2007,text,monthly,2007,12,00,WB18,7291,79230585,12-2007.tx,629,ddaemon.log.12-2007,12-2007
01-2008,text,monthly,2008,01,00,WB20,7320,80807131,01-2008.tx,498,ddaemon.log.01-2008,01-2008
02-2008,text,monthly,2008,02,00,WB21,7298,79214632,02-2008.tx,494,ddaemon.log.2008-02,2008-02
03-2008,text,monthly,2008,03,00,WB6,7299,79677559,03-2008.tx,504,ddaemon.log.03-2008,03-2008
04-2008,text,monthly,2008,04,00,WB1,7301,68088620,04-2008.tx,439,ddaemon.log.04-2008,04-2008
05-2008,text,monthly,2008,05,00,WB10,7476,66283409,05-2008.tx,444,ddaemon.log.05-2008,05-2008
06-2008,text,monthly,2008,06,00,WB6,7482,66925601,06-2008.tx,485,ddaemon.log.06-2008,06-2008
07-2008,text,monthly,2008,07,00,WB7,7483,74677996,07-2008.tx,498,ddaemon.log.07-2008,07-2008
08-2008,text,monthly,2008,08,00,WB2,7495,76597687,08-2008.tx,516,ddaemon.log.08-2008,08-2008
09-2008,text,monthly,2008,09,00,WB21,7518,76049037,09-2008.tx,680,ddaemon.log.09-2008,09-2008
10-2008,text,monthly,2008,10,00,WB3,7220,76528794,10-2008.tx,500,ddaemon.log.10-2008,10-2008
11-2008,text,monthly,2008,11,00,WB2,7571,77127647,11-2008.tx,516,ddaemon.log.11-2008,11-2008
12-2008,text,monthly,2008,12,00,WB7,7572,62693504,12-2008.tx,762,ddaemon.log.12-2008,12-2008
01-2009,text,monthly,2009,01,00,WB23,7565,75552344,01-2009.tx,525,ddaemon.log.01-2009,01-2009
02-2009,text,monthly,2009,02,00,WB23,7587,74210000,02-2009.tx,515,ddaemon.log.02-2009,02-2009
03-2009,text,monthly,2009,03,00,WB22,7254,72112731,03-2009.tx,880,ddaemon.log.03-2009,03-2009
04-2009,text,monthly,2009,04,00,WB2,7578,70918411,04-2009.tx,498,ddaemon.log.04-2009,04-2009
05-2009,text,monthly,2009,05,00,WB7,7633,70559807,05-2009.tx,497,ddaemon.log.05-2009,05-2009
06-2009,text,monthly,2009,06,00,WB15,7650,69299167,06-2009.tx,826,ddaemon.log.06-2009,06-2009
07-2009,text,monthly,2009,07,00,WB15,7651,66737758,07-2009.tx,482,ddaemon.log.07-2009,07-2009
08-2009,text,monthly,2009,08,00,WB2,7659,64250000,08-2009.tx,466,ddaemon.log.08-2009,08-2009
09-2009,text,monthly,2009,09,00,WB7,7671,63760000,09-2009.tx,1600,ddaemon.log.09-2009,09-2009
10-2009,text,monthly,2009,10,00,WB11,7688,62389761,10-2009.tx,468,ddaemon.log.10-2009,10-2009
11-2009,text,monthly,2009,11,00,WB7,7696,63457999,11-2009.tx,479,ddaemon.log.11-2009,11-2009
11-2009-audio,audio,monthly,2009,11,00,WB4,7717,219423,11-2009-audio.au,113,ddaemon.log.11-2009.au,11-2009-audio
12-2009,text,monthly,2009,12,00,WB7,7716,64312852,12-2009.tx,490,ddaemon.log.12-2009,12-2009
01-2010,text,monthly,2010,01,00,WB1,7718,66145584,01-2010.tx,518,ddaemon.log.01-2010,01-2010
02-2010,text,monthly,2010,02,00,WB1,7722,66349561,02-2010.tx,501,ddaemon.log.02-2010,02-2010
03-2010,text,monthly,2010,03,00,WB1,7725,65626572,03-2010.tx,646,ddaemon.log.03-2010,03-2010
04-2010,text,monthly,2010,04,00,WB1,7726,65804414,04-2010.tx,512,ddaemon.log.04-2010,04-2010
05-2010,text,monthly,2010,05,00,WB1,7733,65586665,05-2010.tx,358,ddaemon.log.05-2010,05-2010
06-2010,text,monthly,2010,06,00,WB1,7753,63341316,06-2010.tx,699,ddaemon.log.06-2010,06-2010
07-2010,text,monthly,2010,07,00,WB1,7756,64048820,07-2010.tx,512,dd.log.07-2010,07-2010
08-2010,text,monthly,2010,08,00,WB1,7758,63887923,08-2010.tx,518,dd.log.08-2010,08-2010
09-2010,text,monthly,2010,09,00,WB1,7775,64285877,09-2010.tx,518,dd.log.09-2010,09-2010
10-2010,text,monthly,2010,10,00,WB1,7776,50472251,10-2010.tx,424,dd.log.10-2010,10-2010
11-2010,text,monthly,2010,11,00,WB1,7666,65661352,11-2010.tx,540,dd.log.11-2010,11-2010
12-2010,text,monthly,2010,12,00,WB1,7791,57394732,12-2010.tx,481,dd.log.12-2010,12-2010
01-2011,text,monthly,2011,01,00,WB1,7792,39293588,01-2011.tx,379,dd.log.01-2011,01-2011
02-2011,text,monthly,2011,02,00,WB1,7793,65111607,02-2011.tx,542,dd.log.02-2011,02-2011
03-2011,text,monthly,2011,03,00,WB1,7423,66111607,03-2011.tx,552,dd.log.03-2011,03-2011
gov-07-2003,text,gov,2003,07,00,WB2,7567,8142268,gov-07-2003.tx,214,ddaemon.log.2003-gov-07,gov200307
gov-2004-06,text,gov,2004,06,00,WB2,7506,3391923,gov-2004-06.tx,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-06,image,gov,2004,06,00,WB2,7516,1632483,gov-2004-06.im,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-06,audio,gov,2004,06,00,WB2,7526,3816,gov-2004-06.au,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-06,unknown,gov,2004,06,00,WB2,7536,1242281,gov-2004-06.un,270,ddaemon.log.2004-gov-06,gov-2004-06
gov-2004-09,text,gov,2004,09,00,WB15,7509,5777822,gov-2004-09.tx,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2004-09,image,gov,2004,09,00,WB15,7519,2403949,gov-2004-09.im,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2004-09,audio,gov,2004,09,00,WB15,7529,6663,gov-2004-09.au,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2004-09,unknown,gov,2004,09,00,WB15,7539,2043741,gov-2004-09.un,260,ddaemon.log.2004-gov-09,gov-2004-09
gov-2005-4,text,gov,2005,4,00,WB3,7644,2635004,gov-2005-4.tx,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-4,image,gov,2005,4,00,WB3,7614,1321899,gov-2005-4.im,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-4,audio,gov,2005,4,00,WB3,7624,3461,gov-2005-4.au,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-4,unknown,gov,2005,4,00,WB3,7634,1125302,gov-2005-4.un,256,ddaemon.log.2005-gov-4,gov-2005-4
gov-2005-07,text,gov,2005,07,00,WB15,7607,3535456,gov-2005-07.tx,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-2005-07,image,gov,2005,07,00,WB15,7617,1756823,gov-2005-07.im,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-2005-07,audio,gov,2005,07,00,WB15,7627,4247,gov-2005-07.au,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-2005-07,unknown,gov,2005,07,00,WB15,7637,1388479,gov-2005-07.un,323,ddaemon.log.2005-gov-7,gov-2005-07
gov-09-2005,text,gov,2005,09,00,WB22,7799,3343425,gov-09-2005.tx,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-09-2005,image,gov,2005,09,00,WB22,7719,1831075,gov-09-2005.im,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-09-2005,audio,gov,2005,09,00,WB22,7729,4048,gov-09-2005.au,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-09-2005,unknown,gov,2005,09,00,WB22,7739,1468029,gov-09-2005.un,337,ddaemon.log.2005-gov-9,gov-09-2005
gov-12-2005,text,gov,2005,12,00,WB15,8012,2244710,gov-12-2005.tx,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-12-2005,image,gov,2005,12,00,WB15,8022,1156603,gov-12-2005.im,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-12-2005,audio,gov,2005,12,00,WB15,8032,3751,gov-12-2005.au,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-12-2005,unknown,gov,2005,12,00,WB15,8042,970543,gov-12-2005.un,233,ddaemon.log.2005-gov-12,gov-12-2005
gov-03-2006,text,gov,2006,03,00,WB2,8001,5559726,gov-03-2006.tx,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-03-2006,image,gov,2006,03,00,WB2,8011,2771786,gov-03-2006.im,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-03-2006,audio,gov,2006,03,00,WB2,8021,7474,gov-03-2006.au,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-03-2006,unknown,gov,2006,03,00,WB2,8031,2182328,gov-03-2006.un,484,ddaemon.log.2006-gov-03,gov-03-2006
gov-06-2006,text,gov,2006,06,00,WB21,8041,6126026,gov-06-2006.tx,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-06-2006,image,gov,2006,06,00,WB21,8051,3267426,gov-06-2006.im,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-06-2006,audio,gov,2006,06,00,WB21,8052,8.212,gov-06-2006.au,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-06-2006,unknown,gov,2006,06,00,WB21,8053,2358981,gov-06-2006.un,658,ddaemon.log.2006-gov-06,gov-06-2006
gov-09-2006,text,gov,2006,09,00,WB1,7100,6636067,gov-09-2006.tx,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-09-2006,image,gov,2006,09,00,WB1,7101,3343117,gov-09-2006.im,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-09-2006,audio,gov,2006,09,00,WB1,7102,10428,gov-09-2006.au,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-09-2006,unknown,gov,2006,09,00,WB1,7104,2872675,gov-09-2006.un,726,ddaemon.log.2006-gov-09,gov-09-2006
gov-12-2006,text,gov,2006,12,00,WB9,7149,7062383,gov-12-2006.tx,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-12-2006,image,gov,2006,12,00,WB9,7150,2972535,gov-12-2006.im,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-12-2006,audio,gov,2006,12,00,WB9,7151,11598,gov-12-2006.au,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-12-2006,unknown,gov,2006,12,00,WB9,7152,2718948,gov-12-2006.un,741,ddaemon.log.2006-gov-12,gov-12-2006
gov-03-2007,text,gov,2007,03,00,WB2,7157,8114500,gov-03-2007.tx,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-03-2007,image,gov,2007,03,00,WB2,7158,3377725,gov-03-2007.im,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-03-2007,audio,gov,2007,03,00,WB2,7159,10969,gov-03-2007.au,681,ddaemon.log.2007-gov-03,gov-03-2007
gov-03-2007,unknown,gov,2007,03,00,WB2,7160,3126476,gov-03-2007.un,681,ddaemon.log.2007-gov-03,gov-03-2007
