School Abbreviation,School Name,School Country,School State,School City 
,A.T. Still University of Health Sciences,USA,AZ,
,A.T. Still University of Health Sciences,USA,MO,
,Abilene Christian University,USA,TX,
,Abraham Baldwin Agricultural College,USA,GA,
,Academy of Art University,USA,CA,
,Academy of Oriental Medicine at Austin,USA,TX,
,Adams State College,USA,CO,
,Adelphi University,USA,NY,
,Adler School of Professional Psychology,USA,IL,
,Adrian College,USA,MI,
,Agnes Scott College,USA,GA,
,AIB College of Business,USA,IA,
,Air Force Institute of Technology,USA,OH,
,Air University,USA,AL,
,Alabama A&M University,USA,AL,
,Alabama State University,USA,AL,
,Alaska Bible College,USA,AK,
,Alaska Pacific University,USA,AK,
,Albany College of Pharmacy & Health Sciences,USA,NY,
,Albany Medical College,USA,NY,
,Albany State University,USA,GA,
,Albertus Magnus College,USA,CT,
,Albion College,USA,MI,
,Albright College,USA,PA,
,Alcorn State University,USA,MS,
,Alderson-Broaddus College,USA,WV,
,Alfred Adler Institute,USA,MN,
,Alfred University,USA,NY,
,Alice Lloyd College,USA,KY,
,Allegheny College,USA,PA,
,Allen College,USA,IA,
,Allen University,USA,SC,
,Alliant International University,USA,CA,
,Alma College,USA,MI,
,Alvernia University,USA,PA,
,Alverno College,USA,WI,
,Ambassador University,USA,TX,
,Amberton University,USA,TX,
,American College,USA,PA,
,American College of Education,USA,IL,
,American Conservatory Theater,USA,CA,
,American Film Institute,USA,CA,
,American Indian College of the Assemblies of God,USA,AZ,
,American InterContinental University,USA,IL,
,American International College,USA,MA,
,American Jewish University,USA,CA,
,American University,USA,DC,
,American University of Puerto Rico,USA,PR,
,Amherst College,USA,MA,
,Amridge University,USA,AL,
,Anderson University,USA,SC,
,Anderson University,USA,IN,
,Andover Newton Theological School,USA,MA,
,Andrews University,USA,MI,
,Angelo State University,USA,TX,
Anna U.,Anna Maria College,USA,MA,Paxton
,Antillean Adventist University,USA,PR,
,Antioch College,USA,OH,
,Antioch Universityƒ??Midwest,USA,OH,
,Antioch Universityƒ??New England,USA,NH,
,Antioch Universityƒ??Los Angeles,USA,CA,
,Antioch Universityƒ??Santa Barbara,USA,CA,
,Antioch Universityƒ??Seattle,USA,WA,
,Appalachian Bible College,USA,WV,
,Appalachian State University,USA,NC,
,Aquinas College,USA,MI,
,Aquinas College,USA,TN,
,Aquinas Institute of Theology,USA,MO,
,Arcadia University,USA,PA,
,Argosy University,USA,IL,
,Arizona State University,USA,AZ,
,Arizona State Universityƒ??Downtown Phoenix Campus,USA,AZ,
,Arizona Stateƒ??Polytechnic Campus,USA,AZ,
,Arizona State Universityƒ??West Campus,USA,AZ,
,Arkansas Baptist College,USA,AR,
,Arkansas State University,USA,AR,
,Arkansas Tech University,USA,AR,
,Arlington Baptist College,USA,TX,
,Armstrong Atlantic State University,USA,GA,
,Art Academy of Cincinnati,USA,OH,
,Art Center College of Design,USA,CA,
,Art Center Design College,USA,AZ,
,Art Institute of Atlanta,USA,GA,
,Art Institute of Colorado,USA,CO,
,Art Institute of Dallas,USA,TX,
,Art Institute of Houston,USA,TX,
,Art Institute of Pittsburgh,USA,PA,
,Art Institute of Portland,USA,OR,
,Art Institute of Seattle,USA,WA,
,Asbury Theological Seminary,USA,KY,
,Asbury University,USA,KY,
,Ashford University,USA,IA,
,Ashland University,USA,OH,
,Assemblies of God Theological Seminary,USA,MO,
,Associated Mennonite Biblical Seminary,USA,IN,
,Assumption College,USA,MA,
,Athens State University,USA,AL,
,Atlanta Christian College,USA,GA,
,Atlantic Union College,USA,MA,
,Auburn University,USA,AL,
,Auburn University at Montgomery,USA,AL,
,Augsburg College,USA,MN,
,Augusta State University,USA,GA,
,Augustana College,USA,IL,
,Augustana College,USA,SD,
,Aurora University,USA,IL,
,Austin College,USA,TX,
,Austin Graduate School of Theology,USA,TX,
,Austin Peay State University,USA,TN,
,Austin Presbyterian Theological Seminary,USA,TX,
,Ave Maria University,USA,FL,
,Averett College,USA,VA,
,Avila University,USA,MO,
,Azusa Pacific University,USA,CA,
,Daemen College,USA,NY,
,Dakota State University,USA,SD,
,Dakota Wesleyan University,USA,SD,
,Dallas Baptist University,USA,TX,
,Dallas Christian College,USA,TX,
,Dallas Theological Seminary,USA,TX,
,Dalton State College,USA,GA,
,Dana College,USA,NE,
,Daniel Webster College,USA,NH,
,Dartmouth College,USA,NH,
,Davenport University,USA,MI,
,Davidson College,USA,NC,
,Davis College,USA,NY,
,Davis & Elkins College,USA,WV,
,Daytona State College,USA,FL,
,Defiance College,USA,OH,
,Delaware State University,USA,DE,
,Delaware Valley College,USA,PA,
,Delta State University,USA,MS,
,Denison University,USA,OH,
,Denver Seminary,USA,CO,
,DePaul University,USA,IL,
,DePauw University,USA,IN,
,Des Moines Universityƒ??Osteopathic Medical Center,USA,IA,
,DeSales University,USA,PA,
,DeVry University,USA,IL,
,DeVry Universityƒ??Addison,USA,IL,
,DeVry Universityƒ??Chicago,USA,IL,
,DeVry Universityƒ??Crystal City,USA,VA,
,DeVry Universityƒ??Georgia,USA,GA,
,DeVry Universityƒ??Irving,USA,TX
,DeVry Universityƒ??Kansas City,USA,MO,
,DeVry Universityƒ??Long Beach,USA,CA,
,DeVry Universityƒ??Orlando,USA,FL,
,DeVry Universityƒ??Phoenix,USA,AZ,
,DeVry Universityƒ??Pomona,USA,CA,
,Dickinson College,USA,PA,
,Dickinson State University,USA,ND,
,Dillard University,USA,LA,
,Divine Word College,USA,IA,
,Dixie State College,USA,UT,
,Doane College,USA,NE,
,Dominican College,USA,NY,
,Dominican House of Studies,USA,DC,
,Dominican School of Philosophy & Theology,USA,CA,
,Dominican University,USA,IL,
,Dominican University of California,USA,CA,
,Donnelly College,USA,KS,
,Dordt College,USA,IA,
,Dowling College,USA,NY,
,Drake University,USA,IA,
,Drew University,USA,NJ,
Drexel U.,Drexel University,USA,PA,Philadelphia
,Drury University,USA,MO,
,Duke University,USA,NC,
,Dunwoody College of Technology,USA,MN,
,Duquesne University,USA,PA,
,D??Youville College,USA,NY,
,Earlham College,USA,IN,
,East Carolina University,USA,NC,
,East Central University,USA,OK,
,East Stroudsburg State University of Pennsylvania,USA,PA,
,East Tennessee State University,USA,TN,
,East Texas Baptist University,USA,TX,
,East-West University,USA,IL,
,Eastern University,USA,PA,
,Eastern Connecticut State University,USA,CT,
,Eastern Illinois University,USA,IL,
,Eastern Kentucky University,USA,KY,
,Eastern Mennonite University,USA,VA,
,Eastern Michigan University,USA,MI,
,Eastern Nazarene College,USA,MA,
,Eastern New Mexico University,USA,NM,
,Eastern Oregon University,USA,OR,
,Eastern Virginia Medical School,USA,VA,
,Eastern Washington University,USA,WA,
,Eckerd College,USA,FL,
,ECPI College of Technology,USA,VA,
,Eden Theological Seminary,USA,MO,
,Edgewood College,USA,WI,
,Edinboro University of Pennsylvania,USA,PA,
,Edison State College,USA,FL,
,Edward Waters College,USA,FL,
,Elizabeth City State University,USA,NC,
,Elizabethtown College,USA,PA,
,Ellis University,USA,IL,
,Elmhurst College,USA,IL,
,Elmira College,USA,NY,
,Elms College,USA,MA,
,Elon University,USA,NC,
